field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text,field/6/_name,field/6/__text
Country or Area,Singapore,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,47,Value Footnotes,
Country or Area,Slovakia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,58,Value Footnotes,
Country or Area,Slovenia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,20,Value Footnotes,
Country or Area,Solomon Islands,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,17,Value Footnotes,
Country or Area,Somalia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,416,Value Footnotes,
Country or Area,South Africa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1052,Value Footnotes,
Country or Area,South Asia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,37402,Value Footnotes,1
Country or Area,Spain,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,499,Value Footnotes,
Country or Area,Sri Lanka,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,373,Value Footnotes,
Country or Area,State of Palestine,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,137,Value Footnotes,
Country or Area,Sub-Saharan Africa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,32584,Value Footnotes,1
Country or Area,Sudan (pre-cession),Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1447,Value Footnotes,2
Country or Area,Suriname,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,10,Value Footnotes,
Country or Area,Swaziland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,35,Value Footnotes,
Country or Area,Sweden,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,113,Value Footnotes,
Country or Area,Switzerland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,77,Value Footnotes,
Country or Area,Syrian Arab Republic,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,466,Value Footnotes,
Country or Area,Tajikistan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,194,Value Footnotes,
Country or Area,Thailand,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,824,Value Footnotes,
Country or Area,The former Yugoslav Republic of Macedonia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,22,Value Footnotes,
Country or Area,Timor-Leste,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,44,Value Footnotes,
Country or Area,Togo,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,195,Value Footnotes,
Country or Area,Tonga,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,3,Value Footnotes,
Country or Area,Trinidad and Tobago,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,20,Value Footnotes,
Country or Area,Tunisia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,179,Value Footnotes,
Country or Area,Turkey,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1289,Value Footnotes,
Country or Area,Turkmenistan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,109,Value Footnotes,
Country or Area,Uganda,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1545,Value Footnotes,
Country or Area,Ukraine,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,494,Value Footnotes,
Country or Area,United Arab Emirates,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,94,Value Footnotes,
Country or Area,United Kingdom,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,761,Value Footnotes,
Country or Area,United Republic of Tanzania,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1913,Value Footnotes,
Country or Area,United States,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,4322,Value Footnotes,
Country or Area,Uruguay,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,49,Value Footnotes,
Country or Area,Uzbekistan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,589,Value Footnotes,
Country or Area,Vanuatu,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,7,Value Footnotes,
Country or Area,Venezuela (Bolivarian Republic of),Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,598,Value Footnotes,
Country or Area,Viet Nam,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1458,Value Footnotes,
Country or Area,Western and Central Africa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,16712,Value Footnotes,1
Country or Area,World,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,135056,Value Footnotes,1
Country or Area,Yemen,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,940,Value Footnotes,
Country or Area,Zambia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,622,Value Footnotes,
Country or Area,Zimbabwe,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,377,Value Footnotes,
